Id,Party_Id,Parent_Note_Id,Category,Sub_Category,Channel,Party_Name,Contact_Info,Type,Pin_Flag,Note,Created_Date,Created_By
772,2323071173,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18 8:14AM
Support Channel: In-App
Account: 5505
Issue: Unposted deposit
Transaction Amount: Php100.00
Transaction Date and Time: 17/Aug/2023 10:47:35
Source and Destination Bank: GCash to UNO
Actions Done:
- Send response via In-App
Informed the cx that the transaction was already posted on the account
Reference Number: 16922339767606728
",18-08-2023 08:15,elmo.antonio@uno.bank
773,2322651339,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18 8:20AM
Support Channel: In-App
Account: 4920
Issue: Unposted deposit
Transaction Amount: Php60.00
Transaction Date and Time: 	
17/Aug/2023 10:46:40
Source and Destination Bank: GCash to UNO
Actions Done:
- Send response via In-App
Informed the cx that the transaction was already posted on the account
Reference Number: 16922340147765164",18-08-2023 08:20,elmo.antonio@uno.bank
775,2322344917,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18 8:20AM
Support Channel: In-App
Account: 7280
Issue: Unposted deposit
Transaction Amount: Php3,400.00
Transaction Date and Time: 	
17/Aug/2023 11:03:13
Source and Destination Bank: GCash to UNO
Actions Done:
- Send response via In-App
Informed the cx that the transaction was already posted on the account
Reference Number: 16922346386654224",18-08-2023 08:27,elmo.antonio@uno.bank
778,2322707297,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Support Channel: In App
Account Number: 9377
Issue: Unposted deposit from Union bank to UNO ( I sent P200 from my UnionBank account via PesoNet to my #UNOready@GCash account on 08/17. I received an SMS from UnionBank at 6:17PM that the transfer has been executed from their end but end of day has passed but the amount was not credited to my account )
Action Done: I advised customer about pesonet ",18-08-2023 08:42,danilo.sicat@uno.bank
779,2322761154,NULL,GSave,Others,In-App,,,Customer,N,"Support Channel: In App
Account Number: 5561
issue: Vague ( Cash )
Action Done: I asked customer what is specific concern",18-08-2023 08:45,danilo.sicat@uno.bank
780,2322473959,NULL,GSave,Loans,In-App,,,Customer,N,"Support Channel: In App
Account Number: 4399
Issue: Loan ( Hinde Naman Pala nakakaloan sa inyo )
Action Done: I told to the customer that currently, the loans applications are on hold because we are now gearing up for the full release of this feature through our app, don't worry, we will get back to you and let you know as soon as we resume with applications for loans.",18-08-2023 08:51,danilo.sicat@uno.bank
781,2322706871,NULL,General Enquiry,Loans,In-App,,,Customer,N,"Support Channel: In App
Account Number: 8144
Issue: Loan- ( I want to loan )
Action Done: I told to the customer that currently, the loans applications are on hold because we are now gearing up for the full release of this feature through our app, don't worry, we will get back to you and let you know as soon as we resume with applications for loans.",18-08-2023 08:55,danilo.sicat@uno.bank
783,2322221203,NULL,GSave,Certification,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 3181
Issue: Cx requested his all Time deposit certificate for his safekeeping & documentation and also he need copies of his bank statements as well for travel purposes and other investments
Action: Advised to cx that I will endorsed this to our Banking OPS
	-Adv. cx TAT 3 to 5 banking days starting by monday
	-Walkthrough the cx how to download his bank statement 

TD1- 40002940120567
TD2- 40007010569596
TD3- 40000859668559
TD4- 40000676379895

Other action taken: Created task to monitor account and input in hourly tracker",18-08-2023 08:58,loida.lumagbas@uno.bank
784,2322707477,NULL,Transactions,Send Money - Posting Timeline,Inbound Call,,,Customer,N,"Date&Time: Aug 18 8:40AM
Support Channel: Inbound
Account: 8753
Issue: Unposted Send Money
Transaction Amount: Php50,000.00
Transaction Date and Time: 	
17/Aug/2023 21:57:50 & 17/Aug/2023 22:00:10
Source and Destination Bank: UNO to Bank Of The Philippine Islands
Actions Done:
- customer called in about unposted transaction
- as per cx he transfer 50000 twice to BPI however he only received 50000.
- informed the customer that it will forwarded to our banking ops
- 1-3 banking ops
Reference Number: 89411595141692280667 & 89411595141692280807",18-08-2023 09:10,elmo.antonio@uno.bank
785,2322396121,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 9789
Issue: Unposted transaction deposit money amounting PHP4,922 yesterday from GCash to UNO however as per cx the transaction was delayed and informed us that the amount was already posted
Action: Completed closing spiel",18-08-2023 09:15,loida.lumagbas@uno.bank
786,2322707477,784,Transactions,Send Money - Posting Timeline,Inbound Call,,,Customer,N,Raise to JIRA : UISDV0-10412,18-08-2023 09:16,elmo.antonio@uno.bank
787,2322757719,NULL,Transactions,Send Money - Failed Transaction due to Error,Email,,,Customer,N,"mambu
unposted send monet yo paymaya for 500 
reversed back on the same day
email sent ",18-08-2023 09:24,maita.yranela@uno.bank
788,2322370769,NULL,Service Request,Profile Update,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 0731
Issue: Cx wanted to update her address
Action: Ask cx reason and ask her updated address",18-08-2023 09:26,loida.lumagbas@uno.bank
790,2322176743,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 8564
Issue: Unposted deposit money yesterday amounting PHP2000 from GCash to UNO 
Action: Adv. cx that the amount was already posted yesterday",18-08-2023 09:31,loida.lumagbas@uno.bank
791,2323071615,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18 8:35AM
Support Channel: In-App
Account: 4241
Issue: Unposted deposit
Transaction Amount: Php3,000.00 & Php100.00
Transaction Date and Time: 17/Aug/2023 10:41:30 & 17/Aug/2023 11:08:40
Source and Destination Bank: GCash to UNO
Actions Done:
- Send response via In-App
- Informed the cx that the transaction was already posted on the account
Reference Number: 16922329671989637 & 16922351978386765
",18-08-2023 09:36,elmo.antonio@uno.bank
792,2322740003,NULL,GSave,Certification,In-App,,,Customer,N,"Support Channel:In app
Account no.:3471
Issue:Statement of acct.
Action Done:Walk the cx through the process on how to download statement of acct",18-08-2023 09:39,joanne.medelin@uno.bank
793,2322549069,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18 9:41AM
Support Channel: In-App
Account: 09717
Issue: Unposted deposit
Transaction Amount: Php100.00
Transaction Date and Time: 17/Aug/2023 10:53:16
Source and Destination Bank: GCash to UNO
Actions Done:
- Send response via In-App
- Informed the cx that the transaction was already posted on the account
Reference Number: 16922351919884091",18-08-2023 09:42,elmo.antonio@uno.bank
794,2322400247,NULL,GSave,Loans,In-App,,,Customer,N,"Support Channel:In app
Account no.:4536
Issue:Loan inq
Action Done:Advsd that currently UNO loan is on hold.",18-08-2023 09:44,joanne.medelin@uno.bank
795,2322643973,NULL,GSave,Deposit Money,Email,,,Customer,N,"unposted depsit money 40php 
credited ",18-08-2023 09:50,maita.yranela@uno.bank
796,2322264754,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18 9:48AM
Support Channel: In-App
Account: 2303
Issue: Unposted deposit
Transaction Amount: Php1,700.00
Transaction Date and Time: 17/Aug/2023 10:54:46
Source and Destination Bank: GCash to UNO
Actions Done:
- Send response via In-App
- Informed the cx that the transaction was already posted on the account
Reference Number: 16922347626941445
",18-08-2023 09:50,elmo.antonio@uno.bank
798,2322668295,NULL,GSave,Cards,In-App,,,Customer,N,"Support Channel:In app
Account no.:2581
Issue:Physical card
Action Done: We don't have a specific date yet but the UNO Debit Master card is already in a pipeline",18-08-2023 09:54,joanne.medelin@uno.bank
799,2322427399,NULL,GSave,Cards,In-App,,,Customer,N,"Support Channel: In App
Account Number: 5953
Issue: Physical Card ( how do i get my physical debit card? )
Action Done: I advised customer that we don't have a specific date yet but the UNO Debit Master card is already in a pipeline",18-08-2023 09:54,danilo.sicat@uno.bank
803,2322203135,NULL,GSave,Profile Update,In-App,,,Customer,N,"Support Channel: In App
Account Number: 9677
Issue: Change mobile number ( How can I change my registered mobile number here because my sim card 
seems to be broken and has lost signal )
Action Done: I asked customer what number number you want to change to your old one",18-08-2023 10:25,danilo.sicat@uno.bank
804,2322308957,NULL,Transactions,Add Money – OTC,Inbound Call,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 7770
Issue: Cx can't add money OTC using EZ pay kiosk 
Action: Adv. cx that currently the EZ pay kiosk is not yet available; adv. cx to use other option for OTC",18-08-2023 10:26,loida.lumagbas@uno.bank
805,2322576187,NULL,GSave,Loans,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 5798
Issue: Loan inquiry; cx wanted to loan
Action: Adv. cx that loan was currently on hold",18-08-2023 10:28,loida.lumagbas@uno.bank
806,2322629404,NULL,GSave,Others,In-App,,,Customer,N,"Support Channel: In App
Account Number: 4207
Issue: Vague
Action Done: I asked customer what is specific concern",18-08-2023 10:30,danilo.sicat@uno.bank
807,2322501898,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 7058
Issue : Unposted deposit money amounting PHP2000 from GCash to UNO yesterday
Action: Adv. cx that the amount was already posted yesterday
",18-08-2023 10:34,loida.lumagbas@uno.bank
808,2322239398,NULL,Complaint,BSP Complaints,Email,,,Customer,N,"	
Time and Done: Aug 08,2023 7:50 pm
Support Channel: Inbound call 
Account Number: 1852
Issue: Dispute Request 
- customer purchase a shoes in Lazada worth of Php3,595.50 using his virtual debit mastercard
- he cancel the purchase to Lazada and Lazada already notifie him for the process of refund, he was asking on how many days the refund will be credited to his account 
Action Done:
- advised customer that we have a process for dispute or refund request 
- Read the Terms and Condition to customer and asked if he confirm,
- customer said that he confirm.
Dispute Category:​ Credit not received 
Customer Reason for Dispute: customer's cancel his purchase to Lazada and it was confirm by Lazada that it was already refunded 
Merchant name​: Lazada 
Transaction Date and Time​: aug 02,2023 8:30 pm 
Amount:3,595.50 
Requirements: Proof of Refund from Lazada

	
db 
as per banking team
norefund request reqeust receved yet from LAZADA .
will need to wait for settlement report from merchant for the refund to be processed 
advd customer of timeline 
if not recevied by aug 21 -22 will file charge back with MC

Case is created with ID COM18082023104339",18-08-2023 10:44,maita.yranela@uno.bank
809,2322208020,NULL,GSave,Withdraw Money,In-App,,,Customer,N,"Support Channel:In app
Account no.:6654
Issue:Can't withdraw to other no.
Action Done:Advsd that it can only withdraw right through her GCash wallet.",18-08-2023 10:52,joanne.medelin@uno.bank
810,2322304242,NULL,GSave,Others,In-App,,,Customer,N,"Support Channel: In App
Account Number: 6710
Issue: Vague
Action Done: I asked customer what is specific concern",18-08-2023 10:57,danilo.sicat@uno.bank
811,2322239925,NULL,GSave,Deposit Money,Email,,,Customer,N,"unposted deposit money aug 17 
credited ",18-08-2023 11:01,maita.yranela@uno.bank
812,2322427085,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 5272
Issue: Unposted deposit money amounting PHP200 yesterday from GCash to UNO
Action: Adv. cx that the amount was already posted yesterday",18-08-2023 11:14,loida.lumagbas@uno.bank
814,2322458306,NULL,Service Request,Certification,In-App,,,Customer,N,"Support: In app
Acc num: 5681
Issue: Requesting for TD Cert / UNOEarn and UNOBoost
Action: 
-Adv cx that his request already forwarded on our Banking Ops.
-Adv cx that our TAT is 3-5 Banking days
-Inform cx that once there is a result I will update cx thru in app.",18-08-2023 11:21,analyn.mabale@uno.bank
815,2322219243,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 7733
Issue: Unposted deposit money amounting PHP3500 yesterday from GCash to UNO
Action: Adv. cx that the amount was already posted yesterday",18-08-2023 11:23,loida.lumagbas@uno.bank
816,2322592859,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 7302
Issue: Unposted deposit money amounting PHP100 yesterday from GCash to UNO
Action: Adv. cx that the amount was already posted yesterday",18-08-2023 11:27,loida.lumagbas@uno.bank
817,2322759566,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 4357
Issue: Unposted deposit money amounting PHP1000 yesterday from GCash to UNO
Action: Adv. cx that the amount was already posted yesterday",18-08-2023 11:33,loida.lumagbas@uno.bank
818,2323071139,NULL,GSave,Linking Gsave and UNO App,Email,,,Customer,N,"app linking 
advd 24 hrs",18-08-2023 11:34,maita.yranela@uno.bank
819,2322642725,NULL,GSave,Profile Update,Inbound Call,,,Customer,N,"Date&Time: Aug. 17 11:32AM
Support Channel: Inbound
Account no.: 4138
Issue: Mobile Number Change Request Follow
Action Done: 
- informed the cx that her request already been raise to our dedicated Team. (Notes in Mambu)
- customer wanted to expedite it since she worried about her account (Lost phone)
- Offer temporary lock account however cx declined
-informed the that it will takes 3-5 Banking days",18-08-2023 11:35,elmo.antonio@uno.bank
820,2322364003,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date and Time: Aug 17,2023
Support Channel: In-App
Account no.: 1525
Issue: Unposted deposit money amounting PHP5000 yesterday from GCash to UNO
Action: Adv. cx that the amount was already posted yesterday",18-08-2023 11:37,loida.lumagbas@uno.bank
821,2322175964,NULL,GSave,Others,In-App,,,Customer,N,"Support Channel: In App
Account Number: 6115
Issue: Vague ( No specific concern )
Action Done: I asked customer what is your specific concern",18-08-2023 11:39,danilo.sicat@uno.bank
822,2322326445,NULL,Transactions,Add Money – Online,In-App,,,Customer,N,"Support: In app
Acc num: 6004
Issue: Deposit Money
Action: Since cx already assisted by other agent
-Ask for another assistance
-Closing Spiel",18-08-2023 11:40,analyn.mabale@uno.bank
824,2322721183,NULL,General Enquiry,Loans,In-App,,,Customer,N,"Support: In app
Acc num: 4405
Issue: Asking for Loan Update
Action: Adv cx that the Loan Applications is currently on hold.",18-08-2023 11:53,analyn.mabale@uno.bank
825,2322620539,NULL,Complaint,BSP Complaints,Email,,,Customer,N,"8/17/2023

Support Channel: BOB / BSP consumer affairs
Account: 4852
Issue: Virtual Card Transaction - Debited from account but payment not received by merchant
PHP 999.00 | 04/06/2023 | Merchant: Globe-Billspay 
Actions Done: Reviewed account. PHP 999 was reversed by the merchant on 3/7/2023 and is already reflected in the account. informed customer, bsp notified accordingly regarding resolution.
Reference Number: BSPCMS-2023-DR00000536",18-08-2023 11:57,justin.yuson@uno.bank
826,2322620539,825,Complaint,BSP Complaints,Email,,,Customer,N,"Outbound attempts made to confirm case closure, cx no answer.",18-08-2023 11:58,justin.yuson@uno.bank
827,2322485481,NULL,GSave,Deposit Money,Outbound Call,,,Customer,N,"Date and Time: Aug 18,2023
Support Channel: Outbound
Account no.:3087
Issue:  Unposted deposit money didn't received to his UNO account
	Date and transaction : Aug 17,2023 ; 30 minutes ago
	Amount: PHP3500
	Reference: N/A
Action: Amount was already posted yesterday tried to call 3 times the cx but no response
Jira: UISDV0-10342",18-08-2023 12:03,loida.lumagbas@uno.bank
828,2322586178,NULL,Transactions,Send Money - Failed Transaction due to Error,Email,,,Customer,N,"8/14/2023 (re-applying notes, notes disappeared from CRM)
Support Channel: email
Account: 8807
Issue: Send Money - unable to complete transactions, getting oops something went wrong error after entering otp.
Actions Done: outbound call attempt failed. email sent 8/14 and 8/15 since based on transactions history, cx is finally able to transact, confirming with customer if case has been resolved. no response.
Reference Number: UISDV0-10081",18-08-2023 12:04,justin.yuson@uno.bank
829,2322211612,NULL,GSave,Withdraw Money,In-App,,,Customer,N,"Date and Time of Chat: 8/15/2023 1:08AM
Support Channel: In-App
Account Number: 8310
Issue: 
cx error encountered: We encountered a problem. We’re not able to complete this transaction. Please try again later.
Action Done: i advc cx  Since your mobile number has already been updated on our end, I strongly encourage you to use the UNO mobile app for funds transactions.",18-08-2023 12:07,caira.sotto@uno.bank
830,2322740003,NULL,General Enquiry,Others,In-App,,,Customer,N,"Support: In-app
Acc number: 3471
Issue: How to dl soa
Action: we've already replied to your previous message ",18-08-2023 12:18,caira.sotto@uno.bank
831,2322745956,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Support: In-app
Acc number: 6795
Issue: unposted transaction ( Thank you)
Action: Closing cript ",18-08-2023 12:22,caira.sotto@uno.bank
832,2322560215,NULL,General Enquiry,Cards,In-App,,,Customer,N,"Support: In-app
Acc number: 0230
Issue: Atm card
Action: Adv cx As of now, we only have a virtual card. For now, you can use our Virtual Card via the UNO mobile app for Pay Bills transactions and Online Purchases with no charges.",18-08-2023 12:28,caira.sotto@uno.bank
833,2322560690,NULL,General Enquiry,Others,Inbound Call,,,Customer,N,"Date and Time: August 18,2023 12:23pm
Support: Inbound
Acc num: 8789
Issue: Asking if cx eligible for 500 CASHBACK Promo

Action:Adv cx that he not eligible for the promo since cx mentioned that he open account before the promo.
-Adv cx that he can avail other promo that UNO offered.
-Call ended while Digitize
-Trying to call back but cx did not answer.",18-08-2023 12:31,analyn.mabale@uno.bank
834,2322544669,NULL,Service Request,Certification,Inbound Call,,,Customer,N,"Date&Time: Aug 18, 12:49PM
Support Channel: Inbound
Account no.: 3456
Issue: Bank Certificate request
Action Done: 
- asked for the purpose ( for Visa Application)
- will forward to Banking Ops
- informed the cx that it will takes 3-5 Banking days
- verify email add on file.",18-08-2023 12:32,elmo.antonio@uno.bank
835,2322753713,NULL,General Enquiry,Loans,In-App,,,Customer,N,"Support: In-app
Acc number: 3584
Issue: Seekcap online Loan application 
Action: informed cx !  SeekCap is not part of our product. If you want to know more information and exciting updates, kindly visit our website https://uno.bank/ ",18-08-2023 12:38,caira.sotto@uno.bank
837,2322299570,NULL,GSave,Profile Update,In-App,,,Customer,N,"Date&Time: Aug 18, 12:38PM
Support Channel: In-App
Account no.: 0105
Issue: Mobile Number Request Change
Action Done: 
- Customer wanted to change her mobile number due to unregistered simcard
- raise to JIRA UISDV0-10423
- send response via In-App
- informed the cx that it will takes 3-5 banking days",18-08-2023 12:41,elmo.antonio@uno.bank
840,2322437675,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18, 12:53PM
Support Channel: In-App
Account no.: 1055
Issue: Ok na po mam/sir.thank you
Action Done:
- Send closing spiel via In-App
",18-08-2023 12:55,elmo.antonio@uno.bank
843,2322667208,NULL,General Enquiry,Send Money Enquiry,Inbound Call,,,Customer,N,"Date and time: 8/18/23
Support: Inbound
Acc number: 6358
Issue: Bounce back- Send Money to DCPAY 
Action: tried basic trouble shooting if still bounce back i will raised it our team for investigation
",18-08-2023 13:03,caira.sotto@uno.bank
845,2322632641,NULL,General Enquiry,Loans,In-App,,,Customer,N,"Issue: AVAIL LOAN
Actions: educ the cx about the hold on loan application",18-08-2023 13:12,ron.balboa@uno.bank
846,2322280049,NULL,GSave,Others,In-App,,,Customer,N,"Acc no.: 9780
Issue: Vague! 
Action Done: Asked customer his specific concern ",18-08-2023 13:13,rhycel.enverzo@uno.bank
847,2322336504,NULL,General Enquiry,Loans,In-App,,,Customer,N,"Issue: AVAIL LOAN
Actions: educ the cx about the hold on loan application",18-08-2023 13:17,ron.balboa@uno.bank
848,2322303317,NULL,Transactions,Send Money - Failed Transaction due to Error,In-App,,,Customer,N,"Acc no.: 0923
Issue: Unposted transaction Send Money to Seabank 
Action Done: advised customer that the funds amounting of Php20,002.67 was already reversed back to his account ",18-08-2023 13:18,rhycel.enverzo@uno.bank
849,2322297128,NULL,General Enquiry,Others,In-App,,,Customer,N,": cx forgot pin
Action: Ask if cx  you are referring to your passcode in UNO mobile app?",18-08-2023 13:18,caira.sotto@uno.bank
850,2322698625,NULL,General Enquiry,Time Deposit Query,In-App,,,Customer,N,"ISSUE: CX wants to know where to find the growth of her time deposit 

ACTIONS: Provided the cx on how to find the growth",18-08-2023 13:23,ron.balboa@uno.bank
852,2322597384,NULL,GSave,Loans,In-App,,,Customer,N,"Acc no.: 5713
Issue: Loan Inquiry 
Action Done: advised customer that our Loan Program is currently on hold 
",18-08-2023 13:24,rhycel.enverzo@uno.bank
854,2322588808,NULL,Service Request,Certification,Email,,,Customer,N,Bank cert request to customer's registered email address,18-08-2023 13:28,ethel.garcia@uno.bank
855,2322252850,NULL,Service Request,Certification,Email,,,Customer,N,Bank cert sent to customer's registered email address,18-08-2023 13:29,ethel.garcia@uno.bank
857,2322267404,NULL,Service Request,Certification,Email,,,Customer,N,Bank cert sent to customer's registered email address,18-08-2023 13:30,ethel.garcia@uno.bank
858,2322484973,NULL,Service Request,Certification,In-App,,,Customer,N,Bank cert sent to customer's registered email address,18-08-2023 13:31,ethel.garcia@uno.bank
863,2322263851,NULL,GSave,Loans,In-App,,,Customer,N,"Acc no.: 7911
Issue: Loan follow up 
Action Done: advised customer that our loan program is currently on hold 
",18-08-2023 13:40,rhycel.enverzo@uno.bank
864,2322455612,NULL,Service Request,Certification,In-App,,,Customer,N,"ISSUE: CX wants to issue Bank certificate (Balance as of August 17, and all TD Certificates) 
ACTIONS: Raised to hourly and internal tracker",18-08-2023 13:43,ron.balboa@uno.bank
865,2323072794,NULL,Transactions,Send Money - Posting Timeline,In-App,,,Customer,N,"Date&Time: Aug 18 1:42PM
Support Channel: In-App
Account: 8812
Issue: Unposted deposit
Transaction Amount: Php-5,000.00
Transaction Date and Time: 17/Aug/2023 18:57:46
Source and Destination Bank: UNO to Tonic Digital Bank
Actions Done:
- Send response via In-App
- Informed the cx that the transaction was successful on our end.
-Informed the cx that the Tonic Bank is a PESONET
Reference Number: 98450881741692269863",18-08-2023 13:47,elmo.antonio@uno.bank
867,2322173800,NULL,GSave,Loans,In-App,,,Customer,N,"Acc no.: 7262 
Issue: Loan Inquiry 
Action Done: advised customer that our Loan Program is currently on hold 
",18-08-2023 13:47,rhycel.enverzo@uno.bank
869,2322525556,NULL,General Enquiry,Cards,In-App,,,Customer,N,"ISSUE: CX wants to know how to acquire for our PHYSICAL DEBIT CARD
ACTION: ADVISED CX that the physical card isn't available right now and can use Virtual card to enjoy online transaction",18-08-2023 13:51,ron.balboa@uno.bank
870,2322248597,NULL,GSave,Profile Update,In-App,,,Customer,N,"Acc no.: 8259
Issue: mobile number change request 
Action Done: asked customer what happened to his mobile number that was registered on his account
",18-08-2023 13:52,rhycel.enverzo@uno.bank
872,2322674930,NULL,GSave,Others,Inbound Call,,,Customer,N,"Date and Time: 8/18/2023 1:40 PM.ACTION: INFROMED CX TO DEPOSIT ATLEAST 100PHP TO ACTIVATE THE ACCOUNT"".- line disconnected I called the customer back and got the line back""
Support Channel: Inbound/outbound
Account Number: 9413
Issue: Can't open his account he receive an error which  something is weird happen "" ",18-08-2023 13:54,danilo.sicat@uno.bank
873,2322551970,NULL,General Enquiry,Loans,In-App,,,Customer,N,"Issue: AVAIL LOAN
Actions: educ the cx about the hold on loan application",18-08-2023 13:56,ron.balboa@uno.bank
875,2322525556,NULL,General Enquiry,Cards,In-App,,,Customer,N,"Support: In app
Acc num: 5190
Issue: How to avail Physical Card
Action: Adv cx that Physical Debit Mastercard isn't available. No worries as our team is working on it to be released very soon. For now, you can use our Virtual Card via the UNO mobile app for Pay Bills transactions and Online Purchases with no charges",18-08-2023 14:00,analyn.mabale@uno.bank
876,2322561567,NULL,GSave,Others,In-App,,,Customer,N,"Acc no.: 5238
Issue: asking why the balance on her account is not matching 
Action Done: asked customer if she have made a transaction or purchased anything using her UNO Virtual Debit Mastercard
",18-08-2023 14:01,rhycel.enverzo@uno.bank
877,2322318244,NULL,GSave,Deposit Money,In-App,,,Customer,N,"Date&Time: Aug 18 1:58PM
Support Channel: In-App
Account no.: 6336
Issue: Unposted Txn
Action Done: 
- Send Response via in-App
- Informed the cx that there is no txn since the account was created
- advised the cx to contact GCash",18-08-2023 14:01,elmo.antonio@uno.bank
878,2322628611,NULL,GSave,Others,In-App,,,Customer,N,"Acc no.: 9170
Issue: asking for bank code
Action Done: asked customer for the purpose of swift code and advised that currently we can only make local transaction 
",18-08-2023 14:06,rhycel.enverzo@uno.bank
